检测框序号	行识别结果	检测框坐标
1	2010	1217,411,1335,411,1335,452,1217,452
2	2009	1586,411,1704,411,1704,452,1586,452
3	2008	1950,411,2069,411,2069,452,1950,452
4	Non-current assets 	375,411,836,411,836,456,375,456
5	Property	375,489,579,489,579,531,375,531
6	345	1238,487,1313,487,1313,532,1238,532
7	445	1607,487,1683,487,1683,532,1607,532
8	222	1971,487,2048,487,2048,532,1971,532
9	Investment	375,560,646,560,646,602,375,602
10	567	1239,558,1312,558,1312,603,1239,603
11	654	1607,558,1683,558,1683,603,1607,603
12	423	1971,558,2048,558,2048,603,1971,603
13	Intangibles	375,631,643,631,643,672,375,672
14	423	1237,628,1314,628,1314,674,1237,674
15	123	1610,628,1680,628,1680,674,1610,674
16	453	1972,628,2047,628,2047,674,1972,674
17	2010	1216,904,1335,904,1335,945,1216,945
18	2009	1586,904,1704,904,1704,945,1586,945
19	2008	1950,904,2069,904,2069,945,1950,945
20	Current assets 	375,904,728,904,728,949,375,949
21	Trade and other receivables	375,989,1030,989,1030,1031,375,1031
22	435	1238,987,1313,987,1313,1032,1238,1032
23	634	1607,987,1683,987,1683,1032,1607,1032
24	231	1974,987,2045,987,2045,1032,1974,1032
25	Cash and cash equivalents	375,1062,995,1062,995,1104,375,1104
26	524	1238,1060,1313,1060,1313,1105,1238,1105
27	123	1610,1060,1680,1060,1680,1105,1610,1105
28	482	1970,1060,2049,1060,2049,1105,1970,1105
29	Other	375,1135,508,1135,508,1176,375,1176
30	223	1238,1132,1314,1132,1314,1178,1238,1178
31	211	1612,1132,1677,1132,1677,1178,1612,1178
32	254	1972,1132,2047,1132,2047,1178,1972,1178
33	Rainfall (inches)	375,1410,764,1410,764,1451,375,1451
34	Americas	960,1410,1176,1410,1176,1451,960,1451
35	Asia	1341,1410,1440,1410,1440,1451,1341,1451
36	Europe	1631,1410,1796,1410,1796,1451,1631,1451
37	Africa	1968,1410,2105,1410,2105,1451,1968,1451
38	Average	375,1481,568,1481,568,1522,375,1522
39	133	1033,1478,1103,1478,1103,1524,1033,1524
40	244	1352,1478,1429,1478,1429,1524,1352,1524
41	155	1679,1478,1747,1478,1747,1524,1679,1524
42	166	2000,1478,2072,1478,2072,1524,2000,1524
43	24 hour high	375,1552,674,1552,674,1593,375,1593
44	27	1044,1549,1092,1549,1092,1595,1044,1595
45	28	1364,1549,1417,1549,1417,1595,1364,1595
46	29	1687,1549,1739,1549,1739,1595,1687,1595
47	20	2009,1549,2063,1549,2063,1595,2009,1595
48	12 hour high	375,1622,674,1622,674,1664,375,1664
49	11	1048,1620,1088,1620,1088,1665,1048,1665
50	12	1368,1620,1413,1620,1413,1665,1368,1665
51	13	1691,1620,1736,1620,1736,1665,1691,1665
52	16	2013,1620,2059,1620,2059,1665,2013,1665
53	Table 7: year-end statement, non-current assets (£, thousands)	375,324,2023,324,2023,370,375,370
54	Table 8: year-end statement, current assets (£, thousands)	375,817,1904,817,1904,863,375,863
55	Table 9: rainfall by continent, 2009	375,1323,1280,1323,1280,1369,375,1369
56	 	377,1700,390,1700,390,1749,377,1749
