检测框序号	行识别结果	检测框坐标
1	2006	1061,461,1180,461,1180,502,1061,502
2	2007	1371,461,1490,461,1490,502,1371,502
3	2008	1681,461,1800,461,1800,502,1681,502
4	2009	1991,461,2110,461,2110,502,1991,502
5	Economics	375,548,623,548,623,589,375,589
6	No 	1092,551,1162,551,1162,593,1092,593
7	Yes 	1396,551,1479,551,1479,593,1396,593
8	Yes 	1706,551,1790,551,1790,593,1706,593
9	Yes 	2016,551,2100,551,2100,593,2016,593
10	International relations	375,619,907,619,907,660,375,660
11	No 	1092,622,1162,622,1162,664,1092,664
12	No 	1402,622,1472,622,1472,664,1402,664
13	No 	1712,622,1782,622,1782,664,1712,664
14	No 	2022,622,2092,622,2092,664,2022,664
15	Philosophy	375,690,632,690,632,731,375,731
16	No 	1092,693,1162,693,1162,735,1092,735
17	No 	1402,693,1472,693,1472,735,1402,735
18	No 	1712,693,1782,693,1782,735,1712,735
19	No 	2022,693,2092,693,2092,735,2022,735
20	Politics	375,760,545,760,545,802,375,802
21	No 	1092,764,1162,764,1162,805,1092,805
22	No 	1402,764,1472,764,1472,805,1402,805
23	No 	1712,764,1782,764,1782,805,1712,805
24	No 	2022,764,2092,764,2092,805,2022,805
25	Mathematics	375,831,673,831,673,873,375,873
26	Yes	1085,835,1156,835,1156,876,1085,876
27	No	1402,835,1459,835,1459,876,1402,876
28	No	1712,835,1769,835,1769,876,1712,876
29	No	2022,835,2079,835,2079,876,2022,876
30	English	375,902,545,902,545,944,375,944
31	Yes 	1085,906,1169,906,1169,947,1085,947
32	Yes 	1396,906,1479,906,1479,947,1396,947
33	Yes 	1706,906,1790,906,1790,947,1706,947
34	Yes 	2016,906,2100,906,2100,947,2016,947
35	Accounting item	375,1175,756,1175,756,1216,375,1216
36	2011	1917,1175,2036,1175,2036,1216,1917,1216
37	Income	795,1251,973,1251,973,1293,795,1293
38	General	1018,1251,1199,1251,1199,1293,1018,1293
39	income	1214,1251,1382,1251,1382,1293,1214,1293
40	200,000	1857,1249,2036,1249,2036,1294,1857,1294
41	Increase in value, WIP	1018,1322,1552,1322,1552,1364,1018,1364
42	30,000	1886,1320,2036,1320,2036,1365,1886,1365
43	Income subtotal	1298,1393,1682,1393,1682,1435,1298,1435
44	23 0,0 0 0	1837,1394,2032,1394,2032,1440,1837,1440
45	Staff	1018,1464,1129,1464,1129,1505,1018,1505
46	150,000	1867,1461,2036,1461,2036,1507,1867,1507
47	Administrative costs 	493,1464,986,1464,986,1509,493,1509
48	Early departures	1018,1535,1407,1535,1407,1576,1018,1576
49	20,000	1885,1532,2036,1532,2036,1578,1885,1578
50	Other operating costs	1018,1606,1527,1606,1527,1647,1018,1647
51	10,000	1891,1603,2036,1603,2036,1649,1891,1649
52	Depreciation	1018,1676,1316,1676,1316,1718,1018,1718
53	10,000	1891,1674,2036,1674,2036,1719,1891,1719
54	Programme costs	564,1747,973,1747,973,1789,564,1789
55	Impairment loss	1018,1747,1404,1747,1404,1789,1018,1789
56	10,000	1891,1745,2036,1745,2036,1790,1891,1790
57	Costs subtotal	1348,1818,1682,1818,1682,1860,1348,1860
58	2 0 0,0 0 0	1833,1819,2032,1819,2032,1865,1833,1865
59	Balance	1498,1889,1682,1889,1682,1930,1498,1930
60	3 0,0 0 0	1865,1890,2032,1890,2032,1935,1865,1935
61	Accounting item	375,2162,756,2162,756,2203,375,2203
62	2011	1917,2162,2036,2162,2036,2203,1917,2203
63	Income	795,2282,973,2282,973,2324,795,2324
64	General	1018,2282,1199,2282,1199,2324,1018,2324
65	income	1214,2282,1382,2282,1382,2324,1214,2324
66	200,000	1857,2280,2036,2280,2036,2325,1857,2325
67	Increase in value, WIP	1018,2353,1552,2353,1552,2394,1018,2394
68	30,000	1886,2350,2036,2350,2036,2396,1886,2396
69	Income subtotal	1298,2424,1682,2424,1682,2465,1298,2465
70	23 0,0 0 0	1837,2425,2032,2425,2032,2470,1837,2470
71	Staff	1018,2495,1129,2495,1129,2536,1018,2536
72	(150,000)	1833,2492,2036,2492,2036,2538,1833,2538
73	Administrative costs 	493,2495,986,2495,986,2540,493,2540
74	Early departures	1018,2565,1407,2565,1407,2607,1018,2607
75	(20,000)	1851,2563,2036,2563,2036,2608,1851,2608
76	Other operating costs	1018,2636,1527,2636,1527,2678,1018,2678
77	(10,000)	1857,2634,2036,2634,2036,2679,1857,2679
78	Depreciation	1018,2707,1316,2707,1316,2749,1018,2749
79	(10,000)	1857,2705,2036,2705,2036,2750,1857,2750
80	Impairment loss	1018,2778,1404,2778,1404,2819,1018,2819
81	(10,000)	1857,2775,2036,2775,2036,2821,1857,2821
82	Programme costs 	564,2778,986,2778,986,2823,564,2823
83	Costs subtotal	1348,2849,1682,2849,1682,2890,1348,2890
84	(2 0 0,0 0 0)	1792,2850,2035,2850,2035,2895,1792,2895
85	Balance	1498,2920,1682,2920,1682,2961,1498,2961
86	3 0,0 0 0	1865,2921,2032,2921,2032,2966,1865,2966
87	Table 16: Masters courses offered by Institution X	375,374,1683,374,1683,420,375,420
88	Table 17: accounts, 2011 (£, thousands)	375,1088,1420,1088,1420,1134,375,1134
89	Table 18: accounts, 2011 (£, thousands)	375,2075,1420,2075,1420,2120,375,2120
