检测框序号	行识别结果	检测框坐标
1	Column header (TH)	375,858,899,858,899,904,375,904
2	Column header (TH)	990,858,1514,858,1514,904,990,904
3	Column header (TH)	1605,858,2129,858,2129,904,1605,904
4	Row header (TH)	375,929,816,929,816,975,375,975
5	Data cell  ( TD)  	991,933,1326,933,1326,979,991,979
6	Data cell  ( TD)  	1606,933,1941,933,1941,979,1606,979
7	Row header(TH)	375,1000,801,1000,801,1046,375,1046
8	Data cell	991,1004,1190,1004,1190,1049,991,1049
9	( TD)	1210,1004,1308,1004,1308,1049,1210,1049
10	Data cell	1606,1004,1805,1004,1805,1049,1606,1049
11	( TD)	1825,1004,1923,1004,1923,1049,1825,1049
12	Expenditure by function £ million	375,1272,1154,1272,1154,1313,375,1313
13	2009/10	1658,1272,1864,1272,1864,1313,1658,1313
14	2010/11 1 	1929,1263,2172,1263,2172,1313,1929,1313
15	Policy functions	375,1398,746,1398,746,1440,375,1440
16	Financial	988,1398,1198,1398,1198,1440,988,1440
17	22.5	1717,1396,1804,1396,1804,1441,1717,1441
18	30.57	1995,1396,2108,1396,2108,1441,1995,1441
19	Information 2 	988,1476,1310,1476,1310,1522,988,1522
20	10.2	1718,1478,1804,1478,1804,1524,1718,1524
21	14.8	2009,1478,2094,1478,2094,1524,2009,1524
22	Contingency	988,1564,1277,1564,1277,1605,988,1605
23	2.6	1729,1561,1793,1561,1793,1607,1729,1607
24	1.2	2023,1561,2081,1561,2081,1607,2023,1607
25	Remunerated functions	375,1646,923,1646,923,1688,375,1688
26	44.7	1717,1644,1804,1644,1804,1689,1717,1689
27	35.91	1998,1644,2106,1644,2106,1689,1998,1689
28	Agency services  3 	988,1641,1404,1641,1404,1691,988,1691
29	Payments	988,1729,1219,1729,1219,1771,988,1771
30	22.41	1706,1727,1815,1727,1815,1772,1706,1772
31	19.88	1996,1727,2108,1727,2108,1772,1996,1772
32	Banking	988,1812,1178,1812,1178,1853,988,1853
33	22.90	1702,1809,1819,1809,1819,1855,1702,1855
34	44.23	1995,1809,2109,1809,2109,1855,1995,1855
35	Other	988,1895,1121,1895,1121,1936,988,1936
36	12.69	1706,1892,1816,1892,1816,1938,1706,1938
37	10.32	1997,1892,2107,1892,2107,1938,1997,1938
38	Main character	886,2383,1235,2383,1235,2425,886,2425
39	Daniel Radcliffe 	1280,2387,1616,2387,1616,2428,1280,2428
40	Sidekick 1	995,2454,1234,2454,1234,2496,995,2496
41	Rupert Grint 	1281,2458,1551,2458,1551,2499,1281,2499
42	Sidekick 2	995,2525,1234,2525,1234,2567,995,2567
43	Emma Watson	1281,2529,1582,2529,1582,2570,1281,2570
44	Lovable ogre	933,2596,1234,2596,1234,2637,933,2637
45	Robbie Coltrane 	1281,2599,1625,2599,1625,2641,1281,2641
46	Professor	1010,2667,1235,2667,1235,2708,1010,2708
47	Maggie  Smith 	1279,2670,1578,2670,1578,2712,1279,2712
48	Headmaster	950,2738,1234,2738,1234,2779,950,2779
49	Richard Harris 	1281,2741,1589,2741,1589,2783,1281,2783
50	Table 1	375,770,563,770,563,816,375,816
51	Table 2: example of footnotes referenced from within a table	375,1185,1945,1185,1945,1230,375,1230
52	1 )  Provisional total as of publication date. 	395,2024,1281,2024,1281,2065,395,2065
53	( 2 )  Costs associated with on-going information programmes. 	378,2075,1668,2075,1668,2116,378,2116
54	( 3 )  From the management accounts, net of recoveries, including interest charges. 	378,2125,2112,2125,2112,2167,378,2167
55	Design and build	375,368,1158,368,1158,451,375,451
56	accessible PDF tables	375,469,1380,469,1380,552,375,552
57	Sample tables	375,579,902,579,902,646,375,646
58	"Table 3: ""film credits"" style layout"	833,2287,1717,2287,1717,2333,833,2333
59	  (	375,1974,391,1974,391,2065,375,2065
