检测框序号	行识别结果	检测框坐标
1	2010	1216,411,1335,411,1335,452,1216,452
2	2009	1586,411,1704,411,1704,452,1586,452
3	2008	1950,411,2069,411,2069,452,1950,452
4	 	377,414,388,414,388,456,377,456
5	Non-current assets 	375,486,836,486,836,531,375,531
6	Buildings	375,557,592,557,592,599,375,599
7	345	1238,555,1313,555,1313,600,1238,600
8	445	1607,555,1683,555,1683,600,1607,600
9	222	1971,555,2048,555,2048,600,1971,600
10	Investment	375,628,646,628,646,670,375,670
11	567	1239,626,1312,626,1312,671,1239,671
12	654	1607,626,1683,626,1683,671,1607,671
13	423	1971,626,2048,626,2048,671,1971,671
14	Intangibles	375,699,643,699,643,740,375,740
15	423	1237,696,1314,696,1314,742,1237,742
16	123	1610,696,1680,696,1680,742,1610,742
17	453	1972,696,2047,696,2047,742,1972,742
18	Current assets 	375,770,728,770,728,815,375,815
19	Trade	375,841,509,841,509,882,375,882
20	435	1238,838,1313,838,1313,884,1238,884
21	634	1607,838,1683,838,1683,884,1607,884
22	231	1974,838,2045,838,2045,884,1974,884
23	Cash	375,911,488,911,488,953,375,953
24	524	1238,909,1313,909,1313,954,1238,954
25	123	1610,909,1680,909,1680,954,1610,954
26	482	1970,909,2049,909,2049,954,1970,954
27	Other	375,982,508,982,508,1024,375,1024
28	223	1238,980,1314,980,1314,1025,1238,1025
29	211	1612,980,1677,980,1677,1025,1612,1025
30	254	1972,980,2047,980,2047,1025,1972,1025
31	Current liabilities	375,1053,781,1053,781,1095,375,1095
32	Trade liabilities	375,1124,737,1124,737,1165,375,1165
33	154	1241,1121,1311,1121,1311,1167,1241,1167
34	125	1610,1121,1680,1121,1680,1167,1610,1167
35	421	1974,1121,2045,1121,2045,1167,1974,1167
36	Financial debt	375,1195,704,1195,704,1236,375,1236
37	231	1240,1192,1311,1192,1311,1238,1240,1238
38	474	1608,1192,1682,1192,1682,1238,1608,1238
39	572	1973,1192,2046,1192,2046,1238,1973,1238
40	Provisions	375,1266,618,1266,618,1307,375,1307
41	111	1246,1263,1305,1263,1305,1309,1246,1309
42	312	1610,1263,1680,1263,1680,1309,1610,1309
43	347	1972,1263,2046,1263,2046,1309,1972,1309
44	2009	1769,1538,1888,1538,1888,1580,1769,1580
45	 	377,1542,388,1542,388,1583,377,1583
46	2008 	1031,1538,1163,1538,1163,1583,1031,1583
47	Name	375,1612,510,1612,510,1653,375,1653
48	Entered 	815,1612,1010,1612,1010,1657,815,1657
49	Won 	1222,1612,1340,1612,1340,1657,1222,1657
50	Entered 	1552,1612,1747,1612,1747,1657,1552,1657
51	Won 	1960,1612,2078,1612,2078,1657,1960,1657
52	Bob	375,1694,465,1694,465,1736,375,1736
53	22	880,1692,931,1692,931,1737,880,1737
54	21	1252,1692,1297,1692,1297,1737,1252,1737
55	20	1617,1692,1670,1692,1670,1737,1617,1737
56	19	1990,1692,2036,1692,2036,1737,1990,1737
57	Sue	375,1777,462,1777,462,1819,375,1819
58	12	1252,1775,1297,1775,1297,1820,1252,1820
59	12	1621,1775,1666,1775,1666,1820,1621,1820
60	10	1989,1775,2037,1775,2037,1820,1989,1820
61	44 	880,1775,946,1775,946,1824,880,1824
62	Sam	375,1860,477,1860,477,1901,375,1901
63	4	1262,1857,1288,1857,1288,1903,1262,1903
64	45	1619,1857,1669,1857,1669,1903,1619,1903
65	30	1986,1857,2039,1857,2039,1903,1986,1903
66	16 	883,1857,943,1857,943,1906,883,1906
67	2006	988,2220,1107,2220,1107,2261,988,2261
68	2007	1269,2220,1387,2220,1387,2261,1269,2261
69	2008	1549,2220,1668,2220,1668,2261,1549,2261
