检测框序号	行识别结果	检测框坐标
1	Name	375,420,510,420,510,462,375,462
2	Apples	1537,420,1694,420,1694,462,1537,462
3	Pears	1944,420,2076,420,2076,462,1944,462
4	Bob Scott	375,491,600,491,600,532,375,532
5	20	1588,488,1642,488,1642,533,1588,533
6	25	1985,488,2034,488,2034,533,1985,533
7	Susan. P. Arnold-Jones, BA, FRSA, MD	375,562,1262,562,1262,603,375,603
8	24	1590,558,1641,558,1641,604,1590,604
9	15	1988,558,2032,558,2032,604,1988,604
10	Sam Holder-Dickinson	375,633,894,633,894,674,375,674
11	14	1592,629,1638,629,1638,675,1592,675
12	10	1986,629,2034,629,2034,675,1986,675
13	2010	1216,971,1335,971,1335,1013,1216,1013
14	2009	1586,971,1704,971,1704,1013,1586,1013
15	2008	1950,971,2069,971,2069,1013,1950,1013
16	 	377,975,388,975,388,1016,377,1016
17	Non-current assets 	375,1052,836,1052,836,1097,375,1097
18	Buildings	375,1122,592,1122,592,1164,375,1164
19	345	1238,1120,1313,1120,1313,1165,1238,1165
20	445	1607,1120,1683,1120,1683,1165,1607,1165
21	222	1971,1120,2048,1120,2048,1165,1971,1165
22	Investment	375,1193,646,1193,646,1235,375,1235
23	567	1239,1191,1312,1191,1312,1236,1239,1236
24	654	1607,1191,1683,1191,1683,1236,1607,1236
25	423	1971,1191,2048,1191,2048,1236,1971,1236
26	Intangibles	375,1264,643,1264,643,1306,375,1306
27	423	1237,1262,1314,1262,1314,1307,1237,1307
28	123	1610,1262,1680,1262,1680,1307,1610,1307
29	453	1972,1262,2047,1262,2047,1307,1972,1307
30	Current assets 	375,1335,728,1335,728,1380,375,1380
31	Trade	375,1406,509,1406,509,1447,375,1447
32	435	1238,1403,1313,1403,1313,1449,1238,1449
33	634	1607,1403,1683,1403,1683,1449,1607,1449
34	231	1974,1403,2045,1403,2045,1449,1974,1449
35	Cash	375,1477,488,1477,488,1518,375,1518
36	524	1238,1474,1313,1474,1313,1520,1238,1520
37	123	1610,1474,1680,1474,1680,1520,1610,1520
38	482	1970,1474,2049,1474,2049,1520,1970,1520
39	Other	375,1547,508,1547,508,1589,375,1589
40	223	1238,1545,1314,1545,1314,1590,1238,1590
41	211	1612,1545,1677,1545,1677,1590,1612,1590
42	254	1972,1545,2047,1545,2047,1590,1972,1590
43	Current liabilities	375,1618,781,1618,781,1660,375,1660
44	Trade liabilities	375,1689,737,1689,737,1731,375,1731
45	154	1241,1687,1311,1687,1311,1732,1241,1732
46	125	1610,1687,1680,1687,1680,1732,1610,1732
47	421	1974,1687,2045,1687,2045,1732,1974,1732
48	Financial debt	375,1760,704,1760,704,1801,375,1801
49	231	1240,1757,1311,1757,1311,1803,1240,1803
50	474	1608,1757,1682,1757,1682,1803,1608,1803
51	572	1973,1757,2046,1757,2046,1803,1973,1803
52	Provisions	375,1831,618,1831,618,1872,375,1872
53	111	1246,1828,1305,1828,1305,1874,1246,1874
54	312	1610,1828,1680,1828,1680,1874,1610,1874
55	347	1972,1828,2046,1828,2046,1874,1972,1874
56	Table 27: “table” with columns simulated by using tab stops	375,324,1930,324,1930,370,375,370
57	Table 28: year-end financial table (£, thousands) – headings problem	375,809,2165,809,2165,855,375,855
58	revisited	375,884,600,884,600,930,375,930
