检测框序号	行识别结果	检测框坐标
1	Country	375,486,560,486,560,527,375,527
2	1980	803,486,921,486,921,527,803,527
3	1990	1069,486,1187,486,1187,527,1069,527
4	2000	1334,486,1453,486,1453,527,1334,527
5	2010	1600,486,1719,486,1719,527,1600,527
6	Afghanistan	375,579,657,579,657,621,375,621
7	0.78	816,577,907,577,907,622,816,622
8	1.48	1085,577,1170,577,1170,622,1085,622
9	2.16	1352,577,1435,577,1435,622,1352,622
10	3.33	1615,577,1703,577,1703,622,1615,622
11	Albania	375,674,550,674,550,715,375,715
12	8.89	816,671,908,671,908,717,816,717
13	9.67	1084,671,1171,671,1171,717,1084,717
14	9.89	1348,671,1439,671,1439,717,1348,717
15	10.38	1603,671,1716,671,1716,717,1603,717
16	Algeria	375,795,541,795,541,836,375,836
17	4.74	818,792,905,792,905,838,818,838
18	3.33	1084,792,1172,792,1172,838,1084,838
19	5.50	1349,792,1438,792,1438,838,1349,838
20	7.24	1616,792,1703,792,1703,838,1616,838
21	Andorra	375,889,564,889,564,931,375,931
22	4.98	816,887,907,887,907,932,816,932
23	5.63	1084,887,1172,887,1172,932,1084,932
24	9.09	1347,887,1440,887,1440,932,1347,932
25	10.35	1605,887,1714,887,1714,932,1605,932
26	Angola	375,984,537,984,537,1025,375,1025
27	-	853,981,870,981,870,1027,853,1027
28	-	1119,981,1136,981,1136,1027,1119,1027
29	4.42	1349,981,1438,981,1438,1027,1349,1027
30	4.42	1615,981,1704,981,1704,1027,1615,1027
31	 1 	2136,1253,2172,1253,2172,1303,2136,1303
32	Expenditure by function £million	375,1281,1139,1281,1139,1322,375,1322
33	2009/10	1658,1281,1864,1281,1864,1322,1658,1322
34	2010/11	1929,1281,2136,1281,2136,1322,1929,1322
35	Policy functions	375,1407,746,1407,746,1449,375,1449
36	Financial	988,1407,1197,1407,1197,1449,988,1449
37	22.5	1717,1405,1804,1405,1804,1450,1717,1450
38	30.57	1995,1405,2108,1405,2108,1450,1995,1450
39	 2	1271,1462,1297,1462,1297,1512,1271,1512
40	Information	988,1490,1271,1490,1271,1531,988,1531
41	10.2	1718,1487,1804,1487,1804,1533,1718,1533
42	14.8	2009,1487,2094,1487,2094,1533,2009,1533
43	Contingency	988,1573,1277,1573,1277,1614,988,1614
44	2.6	1729,1570,1793,1570,1793,1616,1729,1616
45	1.2	2023,1570,2081,1570,2081,1616,2023,1616
46	Remunerated functions	375,1655,923,1655,923,1697,375,1697
47	44.7	1717,1653,1804,1653,1804,1698,1717,1698
48	35.91	1998,1653,2106,1653,2106,1698,1998,1698
49	Agency services  3 	988,1650,1404,1650,1404,1700,988,1700
50	Payments	988,1738,1219,1738,1219,1780,988,1780
51	22.41	1706,1736,1815,1736,1815,1781,1706,1781
52	19.88	1996,1736,2108,1736,2108,1781,1996,1781
53	Banking	988,1821,1178,1821,1178,1862,988,1862
54	22.90	1702,1818,1819,1818,1819,1864,1702,1864
55	44.23	1995,1818,2109,1818,2109,1864,1995,1864
56	Other	988,1903,1121,1903,1121,1945,988,1945
57	12.69	1706,1901,1816,1901,1816,1946,1706,1946
58	10.32	1997,1901,2107,1901,2107,1946,1997,1946
59	Table 19: Human Development Index (HDI)	375,324,1502,324,1502,370,375,370
60	trends, 1980 to 2010. Source: Barro-Lee March, 2010	375,399,1749,399,1749,445,375,445
61	Table 20: footnotes referenced from within a table	375,1193,1677,1193,1677,1239,375,1239
62	( 1 )  Provisional total as of publication date. 	378,2033,1281,2033,1281,2074,378,2074
63	( 2 )  Costs associated with on-going information programmes. 	378,2083,1668,2083,1668,2125,378,2125
64	( 3 )  From the management accounts, net of recoveries and including interest charges 	378,2134,2174,2134,2174,2176,378,2176
