检测框序号	行识别结果	检测框坐标
1	Expenditure by function £million	375,411,1139,411,1139,452,375,452
2	2009/10	1658,411,1864,411,1864,452,1658,452
3	2010/11 	1929,406,2144,406,2144,452,1929,452
4	Policy functions	375,538,746,538,746,579,375,579
5	Financial	988,538,1198,538,1198,579,988,579
6	22.5	1717,535,1804,535,1804,581,1717,581
7	30.57	1995,535,2108,535,2108,581,1995,581
8	Information	988,620,1271,620,1271,662,988,662
9	10.2	1718,618,1804,618,1804,663,1718,663
10	14.8	2009,618,2094,618,2094,663,2009,663
11	Contingency	988,703,1277,703,1277,745,988,745
12	2.6	1729,701,1793,701,1793,746,1729,746
13	1.2	2023,701,2081,701,2081,746,2023,746
14	Remunerated functions	375,786,923,786,923,827,375,827
15	44.7	1717,783,1804,783,1804,829,1717,829
16	35.91	1998,783,2106,783,2106,829,1998,829
17	Agency services 	988,786,1377,786,1377,831,988,831
18	Payments	988,868,1219,868,1219,910,988,910
19	22.41	1706,866,1815,866,1815,911,1706,911
20	19.88	1996,866,2108,866,2108,911,1996,911
21	Banking	988,951,1178,951,1178,993,988,993
22	22.90	1702,949,1819,949,1819,994,1702,994
23	44.23	1995,949,2109,949,2109,994,1995,994
24	Other	988,1034,1121,1034,1121,1075,988,1075
25	12.69	1706,1031,1816,1031,1816,1077,1706,1077
26	10.32	1997,1031,2107,1031,2107,1077,1997,1077
27	Notes	1208,1319,1343,1319,1343,1360,1208,1360
28	2010	1704,1319,1822,1319,1822,1360,1704,1360
29	2011	1995,1319,2113,1319,2113,1360,1995,1360
30	Expenditure £m 	375,1319,759,1319,759,1364,375,1364
31	(Notes located on  page  [n] )	980,1398,1572,1398,1572,1440,980,1440
32	Information 	375,1465,666,1465,666,1512,375,1512
33	10.2	1720,1468,1806,1468,1806,1513,1720,1513
34	14.8	2011,1468,2096,1468,2096,1513,2011,1513
35	1 	1264,1474,1302,1474,1302,1515,1264,1515
36	Contingency	375,1553,664,1553,664,1595,375,1595
37	2.6	1731,1551,1795,1551,1795,1596,1731,1596
38	1.2	2025,1551,2083,1551,2083,1596,2025,1596
39	Payments	375,1636,606,1636,606,1677,375,1677
40	22.41	1708,1633,1817,1633,1817,1679,1708,1679
41	19.88	1997,1633,2110,1633,2110,1679,1997,1679
42	3 	1264,1639,1302,1639,1302,1681,1264,1681
43	Banking services	375,1718,771,1718,771,1760,375,1760
44	22.90	1704,1716,1821,1716,1821,1761,1704,1761
45	44.23	1997,1716,2111,1716,2111,1761,1997,1761
46	4 	1264,1722,1302,1722,1302,1763,1264,1763
47	Interest	375,1801,566,1801,566,1843,375,1843
48	0.23	1718,1799,1808,1799,1808,1844,1718,1844
49	0.10	2010,1799,2098,1799,2098,1844,2010,1844
50	Dividends	375,1884,606,1884,606,1925,375,1925
51	2.5	1732,1881,1794,1881,1794,1927,1732,1927
52	3.68	2008,1881,2099,1881,2099,1927,2008,1927
53	23 	1251,1887,1315,1887,1315,1929,1251,1929
54	Other	375,1967,508,1967,508,2008,375,2008
55	12.69	1708,1964,1818,1964,1818,2010,1708,2010
56	10.32	1999,1964,2109,1964,2109,2010,1999,2010
57	9 	1264,1970,1302,1970,1302,2012,1264,2012
58	2009	1769,2325,1888,2325,1888,2367,1769,2367
59	 	377,2329,388,2329,388,2370,377,2370
60	2008 	1031,2325,1163,2325,1163,2370,1031,2370
61	 	1830,2379,1841,2379,1841,2421,1830,2421
62	Name  	375,2408,538,2408,538,2453,375,2453
63	Entered 	815,2408,1010,2408,1010,2453,815,2453
64	Completed 	1150,2408,1413,2408,1413,2453,1150,2453
65	Entered 	1553,2408,1748,2408,1748,2453,1553,2453
66	Completed 	1888,2408,2151,2408,2151,2453,1888,2453
67	Bob	375,2491,465,2491,465,2532,375,2532
68	22	880,2488,931,2488,931,2534,880,2534
69	21	1252,2488,1297,2488,1297,2534,1252,2534
70	20	1617,2488,1670,2488,1670,2534,1617,2534
71	19	1990,2488,2036,2488,2036,2534,1990,2534
72	Sue	375,2573,462,2573,462,2615,375,2615
73	44	880,2571,932,2571,932,2616,880,2616
74	12	1252,2571,1297,2571,1297,2616,1252,2616
75	12	1621,2571,1666,2571,1666,2616,1621,2616
76	10	1989,2571,2037,2571,2037,2616,1989,2616
77	Table 21: footnotes replaced by additional table summary text	375,324,1982,324,1982,370,375,370
78	Table 22: referencing multiple endnotes from within a table	375,1232,1914,1232,1914,1277,375,1277
79	Table 23: simulated table created using tabs and containing no	375,2164,1998,2164,1998,2210,375,2210
80	structure	375,2239,612,2239,612,2285,375,2285
