检测框序号	行识别结果	检测框坐标
1	2008	1033,411,1152,411,1152,452,1033,452
2	2009	1770,411,1888,411,1888,452,1770,452
3	Name	375,470,510,470,510,512,375,512
4	Yes	867,470,950,470,950,512,867,512
5	No	1245,470,1309,470,1309,512,1245,512
6	Yes	1604,470,1687,470,1687,512,1604,512
7	No	1981,470,2045,470,2045,512,1981,512
8	Bob	375,541,465,541,465,582,375,582
9	2	896,547,921,547,921,592,896,592
10	5	1265,547,1289,547,1289,592,1265,592
11	6	1632,547,1658,547,1658,592,1632,592
12	7	2002,547,2025,547,2025,592,2002,592
13	Sue	375,612,462,612,462,653,375,653
14	3	896,618,921,618,921,663,896,663
15	8	1263,618,1290,618,1290,663,1263,663
16	4	1632,618,1658,618,1658,663,1632,663
17	7	2002,618,2025,618,2025,663,2002,663
18	Sam	375,683,477,683,477,724,375,724
19	[data relating to both columns in 	750,703,1451,703,1451,744,750,744
20	[data relating to both columns in 	1486,703,2187,703,2187,744,1486,744
21	a single cell spanning both]  	748,754,1337,754,1337,795,748,795
22	a single cell spanning both]  	1484,754,2073,754,2073,795,1484,795
23	Question	375,1031,584,1031,584,1072,375,1072
24	Respondent A	1107,1031,1432,1031,1432,1072,1107,1072
25	Respondent B	1479,1031,1803,1031,1803,1072,1479,1072
26	Respondent C	1851,1031,2173,1031,2173,1072,1851,1072
27	 	1621,1089,1673,1089,1673,1140,1621,1140
28	 	1990,1089,2047,1089,2047,1140,1990,1140
29	Are you a UK citizen?	375,1103,822,1103,822,1141,375,1141
30	 	1247,1089,1307,1089,1307,1143,1247,1143
31	Are you currently employed?	375,1174,983,1174,983,1212,375,1212
32	 	1618,1166,1676,1166,1676,1218,1618,1218
33	 	1992,1166,2044,1166,2044,1218,1992,1218
34	 	1250,1166,1304,1166,1304,1220,1250,1220
35	Do you have a driving licence?	375,1245,1016,1245,1016,1282,375,1282
36	 	1247,1237,1304,1237,1304,1289,1247,1289
37	 	1618,1237,1676,1237,1676,1289,1618,1289
38	 	1992,1237,2044,1237,2044,1289,1992,1289
39	Question	375,1516,584,1516,584,1558,375,1558
40	Respondent A	1107,1516,1432,1516,1432,1558,1107,1558
41	Respondent B	1479,1516,1803,1516,1803,1558,1479,1558
42	Respondent C	1851,1516,2173,1516,2173,1558,1851,1558
43	No 	1241,1581,1310,1581,1310,1623,1241,1623
44	Yes 	1606,1581,1690,1581,1690,1623,1606,1623
45	No 	1984,1581,2053,1581,2053,1623,1984,1623
46	Are you a UK citizen?	375,1589,822,1589,822,1626,375,1626
47	Are you currently employed?	375,1660,983,1660,983,1697,375,1697
48	Yes 	1234,1661,1318,1661,1318,1703,1234,1703
49	No 	1612,1661,1681,1661,1681,1703,1612,1703
50	Yes 	1977,1661,2061,1661,2061,1703,1977,1703
51	Do you have a driving licence?	375,1730,1016,1730,1016,1768,375,1768
52	No 	1241,1732,1310,1732,1310,1774,1241,1774
53	No 	1612,1732,1681,1732,1681,1774,1612,1774
54	Yes 	1977,1732,2061,1732,2061,1774,1977,1774
55	2006	1061,2067,1180,2067,1180,2109,1061,2109
56	2007	1371,2067,1490,2067,1490,2109,1371,2109
57	2008	1681,2067,1800,2067,1800,2109,1681,2109
58	2009	1991,2067,2110,2067,2110,2109,1991,2109
59	Economics	375,2174,623,2174,623,2216,375,2216
60	A, B 	1078,2178,1176,2178,1176,2219,1078,2219
61	A, C 	1388,2178,1487,2178,1487,2219,1388,2219
62	A, B 	1698,2178,1797,2178,1797,2219,1698,2219
63	A, C 	2008,2178,2107,2178,2107,2219,2008,2219
64	International relations	375,2245,907,2245,907,2287,375,2287
65	A, E	1079,2249,1161,2249,1161,2290,1079,2290
66	A, E	1389,2249,1471,2249,1471,2290,1389,2290
67	A, B	1698,2249,1784,2249,1784,2290,1698,2290
68	A, E	2009,2249,2092,2249,2092,2290,2009,2290
69	Philosophy	375,2316,632,2316,632,2357,375,2357
70	A 	1107,2319,1148,2319,1148,2361,1107,2361
71	A 	1417,2319,1457,2319,1457,2361,1417,2361
72	A 	1727,2319,1768,2319,1768,2361,1727,2361
73	A, D 	2006,2319,2109,2319,2109,2361,2006,2361
74	Politics	375,2387,545,2387,545,2428,375,2428
75	A, D 	1076,2390,1179,2390,1179,2432,1076,2432
76	A, D 	1386,2390,1489,2390,1489,2432,1386,2432
77	A, D 	1696,2390,1799,2390,1799,2432,1696,2432
78	A 	2037,2390,2078,2390,2078,2432,2037,2432
79	Mathematics	375,2458,673,2458,673,2499,375,2499
80	B, C 	1078,2461,1177,2461,1177,2503,1078,2503
81	B 	1417,2461,1458,2461,1458,2503,1417,2503
82	A, E 	1699,2461,1796,2461,1796,2503,1699,2503
83	A, B 	2008,2461,2107,2461,2107,2503,2008,2503
84	English	375,2528,545,2528,545,2570,375,2570
85	A, C 	1078,2532,1177,2532,1177,2573,1078,2573
86	A, B 	1388,2532,1487,2532,1487,2573,1388,2573
87	A,B 	1705,2532,1790,2532,1790,2573,1705,2573
88	C 	2038,2532,2078,2532,2078,2573,2038,2573
89	Table 12: merged data cells are not recommended	375,324,1669,324,1669,370,375,370
90	Table 13: use of graphic symbols	375,935,1223,935,1223,980,375,980
91	Table 14: symbols replaced by real text	375,1420,1390,1420,1390,1466,375,1466
92	Table 15: courses offered by Institution X. A = Bachelor of Science,	375,1905,2108,1905,2108,1951,375,1951
93	B = Bachelor of Arts, C = Masters, D = Doctorate, E = Diploma	375,1980,1976,1980,1976,2026,375,2026
94	 	377,2606,390,2606,390,2655,377,2655
