检测框序号	行识别结果	检测框坐标
1	Role	1123,495,1226,495,1226,537,1123,537
2	Actor	1283,495,1408,495,1408,537,1283,537
3	Main character	886,566,1235,566,1235,607,886,607
4	Daniel Radcliffe 	1280,569,1616,569,1616,611,1280,611
5	Sidekick 1	995,637,1234,637,1234,678,995,678
6	Rupert Grint 	1281,640,1551,640,1551,682,1281,682
7	Sidekick 2	995,708,1234,708,1234,749,995,749
8	Emma Watson 	1281,711,1595,711,1595,753,1281,753
9	Lovable ogre	933,778,1234,778,1234,820,933,820
10	Robbie Coltrane 	1281,782,1625,782,1625,823,1281,823
11	Professor	1010,849,1235,849,1235,891,1010,891
12	Maggie Smith	1279,853,1565,853,1565,894,1279,894
13	Headmaster	950,920,1234,920,1234,962,950,962
14	Richard Harris 	1281,924,1589,924,1589,965,1281,965
15	2010	1216,1275,1335,1275,1335,1317,1216,1317
16	2009	1586,1275,1704,1275,1704,1317,1586,1317
17	2008	1950,1275,2069,1275,2069,1317,1950,1317
18	Non-current assets 	375,1342,836,1342,836,1387,375,1387
19	Property	375,1413,579,1413,579,1454,375,1454
20	345	1238,1410,1313,1410,1313,1456,1238,1456
21	445	1607,1410,1683,1410,1683,1456,1607,1456
22	222	1971,1410,2048,1410,2048,1456,1971,1456
23	Investment	375,1484,646,1484,646,1525,375,1525
24	567	1239,1481,1312,1481,1312,1527,1239,1527
25	654	1607,1481,1683,1481,1683,1527,1607,1527
26	423	1971,1481,2048,1481,2048,1527,1971,1527
27	Intangibles	375,1554,643,1554,643,1596,375,1596
28	423	1237,1552,1314,1552,1314,1597,1237,1597
29	123	1610,1552,1680,1552,1680,1597,1610,1597
30	453	1972,1552,2047,1552,2047,1597,1972,1597
31	Current assets	375,1625,716,1625,716,1667,375,1667
32	Trade and other receivables	375,1696,1030,1696,1030,1738,375,1738
33	435	1238,1694,1313,1694,1313,1739,1238,1739
34	634	1607,1694,1683,1694,1683,1739,1607,1739
35	231	1974,1694,2045,1694,2045,1739,1974,1739
36	Cash and cash equivalents	375,1767,995,1767,995,1808,375,1808
37	524	1238,1764,1313,1764,1313,1810,1238,1810
38	123	1610,1764,1680,1764,1680,1810,1610,1810
39	482	1970,1764,2049,1764,2049,1810,1970,1810
40	Other	375,1838,508,1838,508,1879,375,1879
41	223	1238,1835,1314,1835,1314,1881,1238,1881
42	211	1612,1835,1677,1835,1677,1881,1612,1881
43	254	1972,1835,2047,1835,2047,1881,1972,1881
44	Rainfall	375,2169,553,2169,553,2210,375,2210
45	Americas	802,2169,1019,2169,1019,2210,802,2210
46	Asia	1229,2169,1328,2169,1328,2210,1229,2210
47	Europe	1563,2169,1728,2169,1728,2210,1563,2210
48	Africa	1945,2169,2083,2169,2083,2210,1945,2210
49	(inches)	375,2219,571,2219,571,2261,375,2261
50	2010	1216,2289,1334,2289,1334,2330,1216,2330
51	Average	375,2360,568,2360,568,2401,375,2401
52	104	874,2357,947,2357,947,2403,874,2403
53	201	1242,2357,1315,2357,1315,2403,1242,2403
54	193	1610,2357,1681,2357,1681,2403,1610,2403
55	144	1978,2357,2049,2357,2049,2403,1978,2403
56	24 hour high	375,2431,674,2431,674,2472,375,2472
57	15	888,2428,932,2428,932,2474,888,2474
58	26	1253,2428,1304,2428,1304,2474,1253,2474
59	27	1621,2428,1669,2428,1669,2474,1621,2474
60	18	1990,2428,2037,2428,2037,2474,1990,2474
61	12 hour high	375,2501,674,2501,674,2543,375,2543
62	9	897,2499,923,2499,923,2544,897,2544
63	10	1255,2499,1303,2499,1303,2544,1255,2544
64	11	1625,2499,1665,2499,1665,2544,1625,2544
65	12	1991,2499,2036,2499,2036,2544,1991,2544
66	2009	1216,2572,1334,2572,1334,2614,1216,2614
67	Average	375,2643,568,2643,568,2685,375,2685
68	133	875,2641,946,2641,946,2686,875,2686
69	244	1240,2641,1317,2641,1317,2686,1240,2686
70	155	1611,2641,1679,2641,1679,2686,1611,2686
71	166	1978,2641,2050,2641,2050,2686,1978,2686
72	24 hour high	375,2714,674,2714,674,2755,375,2755
73	27	886,2711,935,2711,935,2757,886,2757
74	28	1252,2711,1305,2711,1305,2757,1252,2757
75	29	1619,2711,1671,2711,1671,2757,1619,2757
76	20	1987,2711,2040,2711,2040,2757,1987,2757
77	12 hour high	375,2785,674,2785,674,2826,375,2826
78	11	891,2782,930,2782,930,2828,891,2828
79	12	1256,2782,1301,2782,1301,2828,1256,2828
80	13	1623,2782,1668,2782,1668,2828,1623,2828
81	16	1991,2782,2037,2782,2037,2828,1991,2828
82	Table 4: table 3 with column headers added	711,399,1839,399,1839,445,711,445
83	Table 5: year-end financial statement (£, thousands)	375,1188,1739,1188,1739,1234,375,1234
84	Table 6: a table with a more serious headings problem	375,2082,1779,2082,1779,2127,375,2127
85	 	377,988,390,988,390,1038,377,1038
86	 	376,1909,389,1909,389,1959,376,1959
